SubjectNo,Date,Time,VerbDomain,Condition,trialNo,itemID,verbName,verbMeaning,mannerSideBias,pathSideBias,kidResponseBias,mannerSideTest,pathSideTest,kidResponseTest,noun1Test,noun2Test,totalTime,xxxxxxxxx,expStartTime,trainingStartTime,trainingEndTime,finalTestStart,finalTestEnd,ambigVid,mBiasVid,pBiasVid,trainVid1,trainVid2,trainVid3,mTestVid,pTestVid,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio
146,10-Dec-2016,10:19:06.734,Motion,Manner,1,1.4,molking,hop,R,L,z,L,R,c,c,z,243.7014,xxxx,2502.8087,2664.3972,2718.4036,2721.1793,2737.9406,hop.around.penguin.5s.mov,hop.up.deer.5s.mov,crawl.around.birdhouse.5s.mov,hop.over.book.5s.mov,hop.through.tree.5s.mov,hop.between.snowmen.5s.mov,hop.down.gazebo.5s.mov,walk.around.goat.5s.mov,molking_manner_future_penguin.wav,molking_manner_past_penguin.wav,molking_manner_future_book.wav,molking_manner_past_book.wav,molking_manner_future_tree.wav,molking_manner_past_tree.wav,molking_manner_future_snowmen.wav,molking_manner_past_snowmen.wav,which_molking.wav,letsfindmolking.wav
146,10-Dec-2016,10:21:10.106,Motion,Manner,2,1.7,birking,tiptoe,R,L,z,R,L,z,c,z,367.2026,xxxx,2502.8087,2783.4458,2836.8769,2839.6107,2864.4251,tiptoe.over.cone.5s.mov,tiptoe.front.snowplow.5s.mov,stoopwalk.over.haystack.5s.mov,tiptoe.around.spaceship.5s.mov,tiptoe.down.dog.5s.mov,tiptoe.into.spaceship2.5s.mov,tiptoe.between.pigs.5s.mov,flapwalk.over.plane.5s.mov,birking_manner_future_cone.wav,birking_manner_past_cone.wav,birking_manner_future_spaceship.wav,birking_manner_past_spaceship.wav,birking_manner_future_dog.wav,birking_manner_past_dog.wav,birking_manner_future_spaceship2.wav,birking_manner_past_spaceship2.wav,which_birking.wav,letsfindbirking.wav
146,10-Dec-2016,10:23:02.282,Motion,Manner,3,1.1,krading,crabwalk,L,R,z,R,L,c,c,z,479.3483,xxxx,2502.8087,2905.6649,2958.1283,2961.0283,2976.7248,crabwalk.into.garage.5s.mov,crabwalk.down.birdhouse.5s.mov,hop.into.cabin.5s.mov,crabwalk.through.tunnel.5s.mov,crabwalk.over.tires.5s.mov,crabwalk.front.bell.5s.mov,crabwalk.up.policebox.5s.mov,roll.into.tower.5s.mov,krading_manner_future_garage.wav,krading_manner_past_garage.wav,krading_manner_future_tunnel.wav,krading_manner_past_tunnel.wav,krading_manner_future_tires.wav,krading_manner_past_tires.wav,krading_manner_future_bell.wav,krading_manner_past_bell.wav,which_krading.wav,letsfindkrading.wav
146,10-Dec-2016,10:25:04.139,Motion,Manner,4,1.2,glipping,crawl,L,R,z,R,L,c,c,z,601.2321,xxxx,2502.8087,3019.5433,3073.7027,3076.4414,3092.4903,crawl.down.clown.5s.mov,crawl.into.cave.5s.mov,flapwalk.down.frog.5s.mov,crawl.between.mailboxes.5s.mov,crawl.front.bench.5s.mov,crawl.over.mountain.5s.mov,crawl.up.scarecrow.5s.mov,stoopwalk.down.lamp.5s.mov,glipping_manner_future_clown.wav,glipping_manner_past_clown.wav,glipping_manner_future_mailboxes.wav,glipping_manner_past_mailboxes.wav,glipping_manner_future_bench.wav,glipping_manner_past_bench.wav,glipping_manner_future_mountain.wav,glipping_manner_past_mountain.wav,which_glipping.wav,letsfindglipping.wav
146,10-Dec-2016,10:26:59.541,Motion,Manner,5,1.5,torging,roll,L,R,z,L,R,z,c,z,716.6295,xxxx,2502.8087,3140.2948,3194.3738,3197.0745,3213.5054,roll.between.trees.5s.mov,roll.through.tent.5s.mov,walk.between.buildings.5s.mov,roll.down.eagle.5s.mov,roll.up.snowman.5s.mov,roll.around.drum.5s.mov,roll.over.bush.5s.mov,crabwalk.between.lights.5s.mov,torging_manner_future_trees.wav,torging_manner_past_trees.wav,torging_manner_future_eagle.wav,torging_manner_past_eagle.wav,torging_manner_future_snowman.wav,torging_manner_past_snowman.wav,torging_manner_future_drum.wav,torging_manner_past_drum.wav,which_torging.wav,letsfindtorging.wav
146,10-Dec-2016,10:29:04.862,Motion,Manner,6,1.3,zarking,flapwalk,R,L,c,R,L,c,c,z,841.9478,xxxx,2502.8087,3255.69,3310.9128,3313.5714,3331.3322,flapwalk.up.cat.5s.mov,flapwalk.around.horse.5s.mov,crawl.up.swan.5s.mov,flapwalk.front.penguin.5s.mov,flapwalk.between.seesaws.5s.mov,flapwalk.through.waterfall.5s.mov,flapwalk.into.igloo.5s.mov,tiptoe.up.well.5s.mov,zarking_manner_future_cat.wav,zarking_manner_past_cat.wav,zarking_manner_future_penguin.wav,zarking_manner_past_penguin.wav,zarking_manner_future_seesaws.wav,zarking_manner_past_seesaws.wav,zarking_manner_future_waterfall.wav,zarking_manner_past_waterfall.wav,which_zarking.wav,letsfindzarking.wav
146,10-Dec-2016,10:31:11.903,Motion,Manner,7,1.6,pimming,stoopwalk,L,R,z,L,R,z,c,z,968.9848,xxxx,2502.8087,3381.5924,3435.2458,3437.2066,3452.4882,stoopwalk.through.flowers.5s.mov,stoopwalk.between.swings.5s.mov,tiptoe.through.lighthouse.5s.mov,stoopwalk.into.barn.5s.mov,stoopwalk.around.fountain.5s.mov,stoopwalk.up.monkey.5s.mov,stoopwalk.front.fishtank.5s.mov,crawl.through.pyramid.5s.mov,pimming_manner_future_flowers.wav,pimming_manner_past_flowers.wav,pimming_manner_future_barn.wav,pimming_manner_past_barn.wav,pimming_manner_future_fountain.wav,pimming_manner_past_fountain.wav,pimming_manner_future_monkey.wav,pimming_manner_past_monkey.wav,which_pimming.wav,letsfindpimming.wav
146,10-Dec-2016,10:33:23.980,Motion,Manner,8,1.8,dacking,walk,R,L,z,L,R,z,c,z,1101.0573,xxxx,2502.8087,3524.1215,3579.6223,3582.4536,3598.6368,walk.front.elephant.5s.mov,walk.over.sandpile.5s.mov,roll.front.giraffe.5s.mov,walk.into.castle.5s.mov,walk.down.cow.5s.mov,walk.up.owl.5s.mov,walk.through.hut.5s.mov,hop.front.bunny.5s.mov,dacking_manner_future_elephant.wav,dacking_manner_past_elephant.wav,dacking_manner_future_castle.wav,dacking_manner_past_castle.wav,dacking_manner_future_cow.wav,dacking_manner_past_cow.wav,dacking_manner_future_owl.wav,dacking_manner_past_owl.wav,which_dacking.wav,letsfinddacking.wav
146,10-Dec-2016,10:34:04.755,CoS,Manner,9,6.1,blicking,bat,R,L,c,NA,NA,NA,c,z,1141.8292,xxxx,2502.8087,NA,NA,NA,3639.1187,bat.break.record.5s.mov,bat.flatten.cupcake.5s.mov,comb.break.cookies.5s.mov,bat.cut.bagel.5s.mov,bat.empty.grocerybag.5s.mov,bat.crush.nuts.5s.mov,bat.open.babybottle.5s.mov,pliers.break.eyeglasses.5s.mov,blicking_manner_future_record.wav,blicking_manner_past_record.wav,blicking_manner_future_bagel.wav,blicking_manner_past_bagel.wav,blicking_manner_future_grocerybag.wav,blicking_manner_past_grocerybag.wav,blicking_manner_future_nuts.wav,blicking_manner_past_nuts.wav,which_blicking.wav,letsfindblicking.wav
146,10-Dec-2016,10:34:42.376,CoS,Manner,10,6.7,wugging,poker,L,R,z,NA,NA,NA,c,z,1179.4506,xxxx,2502.8087,NA,NA,NA,3676.7391,poker.empty.trash.5s.mov,poker.crush.car.5s.mov,knife.empty.goblet.5s.mov,poker.rip.pants.5s.mov,poker.break.piggybank.5s.mov,poker.flatten.cake.5s.mov,poker.bend.lamp.5s.mov,crowbar.empty.detergentcontainer.5s.mov,wugging_manner_future_trash.wav,wugging_manner_past_trash.wav,wugging_manner_future_pants.wav,wugging_manner_past_pants.wav,wugging_manner_future_piggybank.wav,wugging_manner_past_piggybank.wav,wugging_manner_future_cake.wav,wugging_manner_past_cake.wav,which_wugging.wav,letsfindwugging.wav
146,10-Dec-2016,10:35:19.615,CoS,Manner,11,6.8,rolting,trowel,R,L,c,NA,NA,NA,c,z,1216.6876,xxxx,2502.8087,NA,NA,NA,3714.5266,trowel.flatten.sand.5s.mov,trowel.break.flowerpot.5s.mov,crowbar.flatten.donut.5s.mov,trowel.bend.wateringcan.5s.mov,trowel.crush.bottle.5s.mov,trowel.empty.vase.5s.mov,trowel.rip.sack.5s.mov,knife.flatten.sponge.5s.mov,rolting_manner_future_sand.wav,rolting_manner_past_sand.wav,rolting_manner_future_wateringcan.wav,rolting_manner_past_wateringcan.wav,rolting_manner_future_bottle.wav,rolting_manner_past_bottle.wav,rolting_manner_future_vase.wav,rolting_manner_past_vase.wav,which_rolting.wav,letsfindrolting.wav
146,10-Dec-2016,10:35:59.024,CoS,Manner,12,6.6,klebbing,pliers,L,R,z,NA,NA,NA,c,z,1256.0953,xxxx,2502.8087,NA,NA,NA,3751.2466,pliers.bend.candle.5s.mov,pliers.cut.pizza.5s.mov,hammer.bend.sunflower.5s.mov,pliers.flatten.pumpkin.5s.mov,pliers.open.jar.5s.mov,pliers.rip.tablecloth.5s.mov,pliers.empty.glass.5s.mov,bat.bend.flagpole.5s.mov,klebbing_manner_future_candle.wav,klebbing_manner_past_candle.wav,klebbing_manner_future_pumpkin.wav,klebbing_manner_past_pumpkin.wav,klebbing_manner_future_jar.wav,klebbing_manner_past_jar.wav,klebbing_manner_future_tablecloth.wav,klebbing_manner_past_tablecloth.wav,which_klebbing.wav,letsfindklebbing.wav
146,10-Dec-2016,10:36:34.527,CoS,Manner,13,6.3,zicking,crowbar,L,R,z,NA,NA,NA,c,z,1291.5978,xxxx,2502.8087,NA,NA,NA,3790.4696,crowbar.open.grill.5s.mov,crowbar.rip.pillow.5s.mov,trowel.open.door.5s.mov,crowbar.crush.soap.5s.mov,crowbar.bend.spatula.5s.mov,crowbar.cut.cucumber.5s.mov,crowbar.break.shoe.5s.mov,poker.open.window.5s.mov,zicking_manner_future_grill.wav,zicking_manner_past_grill.wav,zicking_manner_future_soap.wav,zicking_manner_past_soap.wav,zicking_manner_future_spatula.wav,zicking_manner_past_spatula.wav,zicking_manner_future_cucumber.wav,zicking_manner_past_cucumber.wav,which_zicking.wav,letsfindzicking.wav
146,10-Dec-2016,10:37:10.181,CoS,Manner,14,6.5,gorping,knife,L,R,z,NA,NA,NA,c,z,1327.2503,xxxx,2502.8087,NA,NA,NA,3825.7881,knife.cut.bread.5s.mov,knife.bend.fork.5s.mov,poker.cut.curtain.5s.mov,knife.break.frame.5s.mov,knife.rip.newspaper.5s.mov,knife.open.box.5s.mov,knife.crush.apple.5s.mov,trowel.cut.cheese.5s.mov,gorping_manner_future_bread.wav,gorping_manner_past_bread.wav,gorping_manner_future_frame.wav,gorping_manner_past_frame.wav,gorping_manner_future_newspaper.wav,gorping_manner_past_newspaper.wav,gorping_manner_future_box.wav,gorping_manner_past_box.wav,which_gorping.wav,letsfindgorping.wav
146,10-Dec-2016,10:37:53.905,CoS,Manner,15,6.2,gossing,comb,R,L,c,NA,NA,NA,c,z,1370.973,xxxx,2502.8087,NA,NA,NA,3869.2452,comb.rip.armchair.5s.mov,comb.open.book.5s.mov,bat.rip.kite.5s.mov,comb.empty.bowl.5s.mov,comb.cut.pie.5s.mov,comb.bend.coathanger.5s.mov,comb.flatten.burger.5s.mov,hammer.rip.shirt.5s.mov,gossing_manner_future_armchair.wav,gossing_manner_past_armchair.wav,gossing_manner_future_bowl.wav,gossing_manner_past_bowl.wav,gossing_manner_future_pie.wav,gossing_manner_past_pie.wav,gossing_manner_future_coathanger.wav,gossing_manner_past_coathanger.wav,which_gossing.wav,letsfindgossing.wav
146,10-Dec-2016,10:50:27.112,CoS,Manner,16,6.4,nibbing,hammer,R,L,c,NA,NA,NA,c,z,2124.155,xxxx,2502.8087,NA,NA,NA,3906.6663,hammer.crush.strawberries.5s.mov,hammer.empty.brushcontainer.5s.mov,pliers.crush.candycanes.5s.mov,hammer.open.envelope.5s.mov,hammer.flatten.sandwich.5s.mov,hammer.break.bone.5s.mov,hammer.cut.watermelon.5s.mov,comb.crush.juicebox.5s.mov,nibbing_manner_future_strawberries.wav,nibbing_manner_past_strawberries.wav,nibbing_manner_future_envelope.wav,nibbing_manner_past_envelope.wav,nibbing_manner_future_sandwich.wav,nibbing_manner_past_sandwich.wav,nibbing_manner_future_bone.wav,nibbing_manner_past_bone.wav,which_nibbing.wav,letsfindnibbing.wav
